ID,Label,Glottocode,ISO639P3code,Name,Family,Latitude,Longitude,Project,ProjectFile,EntryDate,Comment,Link,Set
p_abuiabui1241,Abui_abui1241,abui1241,abz,Abui,,-8.31058,124.588,parabank,Abui abui1241.txt,20170621,,,Parabank
p_achineseachi1257,Achinese_achi1257,achi1257,ace,Acehnese,Austronesian,3.90757,96.6032,parabank,Achinese achi1257.txt,20170718,,https://collectionscanada.gc.ca/obj/s4/f2/dsk2/ftp01/MQ37156.pdf,Parabank
p_adangadan1251,Adang_adan1251,adan1251,adn,Adang,,-8.18958,124.448,parabank,Adang adan1251.txt,20170621,,,Parabank
p_agobendekawamagob1244,Agob-Ende-Kawam_agob1244,agob1244,kit,Agob-Ende-Kawam,,-9.08521,142.532,parabank,Agob-Ende-Kawam agob1244.txt,20171204,,,Parabank
p_aklanonakla1241,Aklanon_akla1241,akla1241,akl,Aklanon,Austronesian,11.5543,122.354,parabank,Aklanon akla1241.txt,20170614,,,Parabank
p_alanganalan1249,Alangan_alan1249,alan1249,alj,Alangan,Austronesian,13.0982,121.022,parabank,Alangan alan1249.txt,20170616,,,Parabank
p_ampibabolaujeampi1237,Ampibabo_Lauje_ampi1237,ampi1237,,Ampibabo,Austronesian,,,parabank,Ampibabo Lauje ampi1237.txt,20161207,,,Parabank
p_anejomanei1239,Anejom_anei1239,anei1239,aty,Aneityum,Austronesian,-20.1864,169.825,parabank,Anejom anei1239.txt,20161207,,,Parabank
p_aniwaaniw1237,Aniwa_aniw1237,aniw1237,,Aniwa,Austronesian,,,parabank,Aniwa aniw1237.txt,20170514,,,Parabank
p_anutaanut1237,Anuta_anut1237,anut1237,aud,Anuta,Austronesian,-11.61,169.85,parabank,Anuta anut1237.txt,,,,Parabank
p_arabanaarab1267a,Arabana_arab1267a,arab1267,ard,Arabana,Pama-Nyungan,-28.705,135.449,parabank,Arabana arab1267.txt,20170127,,,Parabank
p_arakiarak1252,Araki_arak1252,arak1252,akr,Araki,Austronesian,-15.632997,166.952542,parabank,Araki arak1252.txt,20161205,,,Parabank
p_arearearea1240,'Are'are_area1240,area1240,alu,'Are'are,Austronesian,-9.20699,161.158,parabank,'Are'are area1240.txt,20170407,,,Parabank
