ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
p_lebanesearabicstan1323-meB-1,,p_lebanesearabicstan1323,meB,/(ʔ)æːx/,æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myB-1,,p_lebanesearabicstan1323,myB,/(ʔ)æːx/,æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-feB-1,,p_lebanesearabicstan1323,feB,/(ʔ)æːx/,æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fyB-1,,p_lebanesearabicstan1323,fyB,/(ʔ)æːx/,æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-meZ-1,,p_lebanesearabicstan1323,meZ,/ʔ(ə)xt/,ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myZ-1,,p_lebanesearabicstan1323,myZ,/ʔ(ə)xt/,ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-feZ-1,,p_lebanesearabicstan1323,feZ,/ʔ(ə)xt/,ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fyZ-1,,p_lebanesearabicstan1323,fyZ,/ʔ(ə)xt/,ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mF-1,,p_lebanesearabicstan1323,mF,/(ʔ)æːb/,æːb,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mM-1,,p_lebanesearabicstan1323,mM,/ʔ(ə)m/,ʔm,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fF-1,,p_lebanesearabicstan1323,fF,/(ʔ)æːb/,æːb,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fM-1,,p_lebanesearabicstan1323,fM,/ʔ(ə)m/,ʔm,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mS-1,,p_lebanesearabicstan1323,mS,/ʔ(ə)b(ə)n/,ʔbn,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fS-1,,p_lebanesearabicstan1323,fS,/ʔ(ə)b(ə)n/,ʔbn,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mD-1,,p_lebanesearabicstan1323,mD,/b(ə)nt/,bnt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fD-1,,p_lebanesearabicstan1323,fD,/b(ə)nt/,bnt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mSS-1,,p_lebanesearabicstan1323,mSS,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mSD-1,,p_lebanesearabicstan1323,mSD,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mDS-1,,p_lebanesearabicstan1323,mDS,/ħɑfiːd/,ħɑfiːd,,younger son,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mDD-1,,p_lebanesearabicstan1323,mDD,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fSS-1,,p_lebanesearabicstan1323,fSS,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fSD-1,,p_lebanesearabicstan1323,fSD,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fDS-1,,p_lebanesearabicstan1323,fDS,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fDD-1,,p_lebanesearabicstan1323,fDD,/ħɑfiːd/,ħɑfiːd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mFF-1,,p_lebanesearabicstan1323,mFF,/ʒ(ə)d/,ʒd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mFM-1,,p_lebanesearabicstan1323,mFM,/ʒ(ə)dɑ/,ʒdɑ,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mMF-1,,p_lebanesearabicstan1323,mMF,/ʒ(ə)d/,ʒd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-mMM-1,,p_lebanesearabicstan1323,mMM,/ʒ(ə)dɑ/,ʒdɑ,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fFF-1,,p_lebanesearabicstan1323,fFF,/ʒ(ə)d/,ʒd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fFM-1,,p_lebanesearabicstan1323,fFM,/ʒ(ə)dɑ/,ʒdɑ,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fMF-1,,p_lebanesearabicstan1323,fMF,/ʒ(ə)d/,ʒd,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fMM-1,,p_lebanesearabicstan1323,fMM,/ʒ(ə)dɑ/,ʒdɑ,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-meBS-1,,p_lebanesearabicstan1323,meBS,/ʔ(ə)bn(ə)l (ʔ)æːx/,ʔbnl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myBS-1,,p_lebanesearabicstan1323,myBS,/ʔ(ə)bn(ə)l (ʔ)æːx/,ʔbnl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-meZS-1,,p_lebanesearabicstan1323,meZS,/ʔ(ə)bn(ə)l ʔ(ə)xt/,ʔbnl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myZS-1,,p_lebanesearabicstan1323,myZS,/ʔ(ə)bn(ə)l ʔ(ə)xt/,ʔbnl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-meBD-1,,p_lebanesearabicstan1323,meBD,/b(ə)nt(ə)l (ʔ)æːx/,bntl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myBD-1,,p_lebanesearabicstan1323,myBD,/b(ə)nt(ə)l (ʔ)æːx/,bntl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-meZD-1,,p_lebanesearabicstan1323,meZD,/b(ə)nt(ə)l ʔ(ə)xt/,bntl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-myZD-1,,p_lebanesearabicstan1323,myZD,/b(ə)nt(ə)l ʔ(ə)xt/,bntl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-feBS-1,,p_lebanesearabicstan1323,feBS,/ʔ(ə)bn(ə)l (ʔ)æːx/,ʔbnl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fyBS-1,,p_lebanesearabicstan1323,fyBS,/ʔ(ə)bn(ə)l (ʔ)æːx/,ʔbnl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-feZS-1,,p_lebanesearabicstan1323,feZS,/ʔ(ə)bn(ə)l ʔ(ə)xt/,ʔbnl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fyZS-1,,p_lebanesearabicstan1323,fyZS,/ʔ(ə)bn(ə)l ʔ(ə)xt/,ʔbnl ʔxt,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-feBD-1,,p_lebanesearabicstan1323,feBD,/b(ə)nt(ə)l (ʔ)æːx/,bntl æːx,,,el-khaissi_2020,,,,
p_lebanesearabicstan1323-fyBD-1,,p_lebanesearabicstan1323,fyBD,/b(ə)nt(ə)l (ʔ)æːx/,bntl æːx,,,el-khaissi_2020,,,,
